,ctx_dhs,ctx_footprint_no,ctx_sox2no,ctx_sox2score,hox,lhx,log2fc,maxcons,meancons,sc_dhs,sc_footprint_no,sc_sox2no,sc_sox2score
ENSMUSG00000046593,2355.99577209,0.816578752816,0.0,0.0,0.24136912254,0.47778386241,-0.125293196724945,14.2941840134,0.699185458147,1721.95989309,0.874425850285,0.0,0.0
ENSMUSG00000037972,6248.35386091,1.25796732045,1.57918924894,37.6970301937,0.447913157811,0.0,0.119926713758395,23.306561605,0.91103163767,4697.47572878,0.326459297869,0.579189248938,20.8508129618
ENSMUSG00000037973,2678.18763676,0.0,1.21410620902,21.5237234471,0.452226553574,10.6775987017,-1.02934660449062,23.7389588638,3.45280629671,1419.97425372,0.0,0.0,0.0
ENSMUSG00000053216,14688.9777198,33.567085068,5.3172663953,135.139718305,0.32618353134,4.99264873928,-0.625700233437594,64.5719725947,7.6811907882,12665.4807375,27.6248162557,2.32664237138,33.0123002491
ENSMUSG00000029510,6050.04446282,3.45435529093,1.56067985757,15.0875885767,0.0,4.46095802867,0.730771242845638,32.4479518211,3.73653838747,5181.36959221,4.48770464184,0.0,0.0
ENSMUSG00000039982,2989.60773568,1.42347495551,1.87927073973,62.6943862853,0.0,0.127834777268,1.31621064487682,15.7909060761,0.856200585651,3374.20863374,1.47343798286,0.879074174289,75.6003789889
ENSMUSG00000053219,1296.65476538,3.65438699065,0.913596747663,134.298721906,0.0,0.551607795853,0.113121097864989,12.831943505,1.81573626875,952.130121672,3.65438699065,0.980867615919,119.574827615
ENSMUSG00000003435,10328.3654298,10.6412255951,1.23531707098,13.5400531123,0.838130037421,1.18658325863,-0.166421637480858,71.023417066,5.67334939516,8158.68207553,6.82824936889,0.0,0.0
ENSMUSG00000075394,5553.29953182,3.10201608225,1.22986577438,21.6385141766,2.58006692573,4.22395747755,2.42120252980278,104.93241238,16.0651230864,11953.1888768,11.5371062504,1.95301730834,27.6531747532
ENSMUSG00000004895,8877.80759755,7.7085145722,2.69737681267,108.805950342,0.098094301773,1.95834698169,-0.354432792846233,62.0111066469,6.02099132518,7052.2079839,4.97192032466,1.4981121508,39.3999679522
ENSMUSG00000004894,12117.1399103,12.1969426863,3.62671148369,148.572373097,0.260606414563,2.32745619793,-0.559431448783955,78.4124775524,7.94401984699,9754.07349687,6.76220600598,1.58994154537,46.9754761808
